,country_name,country_code
0,Dominican Republic,DOM
1,Mexico,MEX
2,Philippines,PHL
3,Greece,GRC
4,Japan,JPN
5,United States,USA
6,Uruguay,URY
7,Italy,ITA
8,East Germany (GDR),DEU
9,Ethiopia,ETH
10,Guatemala,GTM
11,Venezuela,VEN
12,West Germany (FRG),DEU
13,Switzerland,CHE
14,Jordan,JOR
15,Spain,ESP
16,Brazil,BRA
17,Egypt,EGY
18,Argentina,ARG
19,Lebanon,LBN
20,Ireland,IRL
21,Turkey,TUR
22,Paraguay,PRY
23,Iran,IRN
24,United Kingdom,GBR
25,Colombia,COL
26,Bolivia,BOL
27,Nicaragua,NIC
28,Netherlands,NLD
29,Belgium,BEL
30,Canada,CAN
31,Australia,AUS
32,Pakistan,PAK
33,Zambia,ZMB
34,Sweden,SWE
35,Costa Rica,CRI
36,South Yemen,YEM
37,Cambodia,KHM
38,Israel,ISR
39,Poland,POL
40,Taiwan,TWN
41,Panama,PAN
42,Kuwait,KWT
43,West Bank and Gaza Strip,
44,Austria,AUT
45,Czechoslovakia,CZE
46,India,IND
47,France,FRA
48,South Vietnam,VNM
49,Brunei,BRN
50,Zaire,
51,People's Republic of the Congo,COG
52,Portugal,PRT
53,Algeria,DZA
54,El Salvador,SLV
55,Thailand,THA
56,Haiti,HTI
57,Sudan,SDN
58,Morocco,MAR
59,Cyprus,CYN
60,Myanmar,MMR
61,Afghanistan,AFG
62,Peru,PER
63,Chile,CHL
64,Honduras,HND
65,Yugoslavia,
66,Ecuador,ECU
67,New Zealand,NZL
68,Malaysia,MYS
69,Singapore,
70,Botswana,BWA
71,Jamaica,JAM
72,Chad,TCD
73,North Yemen,YEM
74,Andorra,
75,Syria,SYR
76,South Korea,KOR
77,United Arab Emirates,ARE
78,South Africa,ZAF
79,Kenya,KEN
80,Iraq,IRQ
81,Somalia,SOM
82,Tanzania,TZA
83,Sri Lanka,LKA
84,Namibia,NAM
85,Bahamas,BHS
86,Nigeria,NGA
87,Barbados,
88,Trinidad and Tobago,TTO
89,Bangladesh,BGD
90,Angola,AGO
91,Mauritania,MRT
92,Saudi Arabia,SAU
93,Djibouti,DJI
94,Indonesia,IDN
95,Malta,
96,Rhodesia,
97,Soviet Union,RUS
98,Denmark,DNK
99,Western Sahara,SAH
100,Guyana,GUY
101,Mozambique,MOZ
102,Tunisia,TUN
103,Uganda,UGA
104,Norway,NOR
105,Lesotho,LSO
106,Gabon,GAB
107,Libya,LBY
108,Bahrain,
109,Hong Kong,CHN
110,Senegal,SEN
111,Zimbabwe,ZWE
112,Guinea,PNG
113,Grenada,
114,New Hebrides,
115,Belize,BLZ
116,Guadeloupe,
117,Martinique,
118,Vatican City,
119,Albania,ALB
120,Central African Republic,CAF
121,Seychelles,
122,Dominica,DOM
123,Qatar,QAT
124,Bulgaria,BGR
125,Suriname,SUR
126,Swaziland,
127,Luxembourg,LUX
128,Iceland,ISL
129,French Guiana,
130,Falkland Islands,FLK
131,Burkina Faso,BFA
132,New Caledonia,NCL
133,Romania,ROU
134,Niger,NER
135,Nepal,NPL
136,Togo,TGO
137,Finland,FIN
138,Fiji,FJI
139,Ghana,GHA
140,Maldives,
141,Mauritius,
142,Hungary,HUN
143,Laos,LAO
144,Papua New Guinea,PNG
145,China,CHN
146,Liberia,LBR
147,Republic of the Congo,COD
148,Mali,MLI
149,Germany,DEU
150,Yemen,YEM
151,Rwanda,RWA
152,Sierra Leone,SLE
153,Cameroon,CMR
154,Cuba,CUB
155,Croatia,HRV
156,Georgia,GEO
157,Azerbaijan,AZE
158,Madagascar,MDG
159,Lithuania,LTU
160,Burundi,BDI
161,Ukraine,UKR
162,Moldova,MDA
163,Armenia,ARM
164,Russia,RUS
165,Ivory Coast,CIV
166,Kazakhstan,KAZ
167,Antigua and Barbuda,
168,Bosnia-Herzegovina,
169,Equatorial Guinea,GNQ
170,Tajikistan,TJK
171,Malawi,MWI
172,Uzbekistan,UZB
173,Latvia,LVA
174,Estonia,EST
175,Vietnam,VNM
176,Comoros,
177,Benin,BEN
178,Slovak Republic,SVK
179,Macedonia,MKD
180,Wallis and Futuna,
181,Belarus,BLR
182,Czech Republic,CZE
183,Slovenia,SVN
184,Gambia,GMB
185,North Korea,PRK
186,Eritrea,ERI
187,St. Kitts and Nevis,
188,French Polynesia,
189,Macau,CHN
190,Kyrgyzstan,KGZ
191,Vanuatu,VUT
192,Democratic Republic of the Congo,COD
193,Kosovo,KOS
194,Solomon Islands,SLB
195,East Timor,TLS
196,St. Lucia,
197,Guinea-Bissau,GNB
198,Montenegro,MNE
199,International,
200,Turkmenistan,TKM
201,Serbia-Montenegro,CHN
202,Bhutan,BTN
203,Serbia,SRB
204,South Sudan,
